locus_tag	GO_ID
smr0009	GO:0015979
smr0009	GO:0031676
sll1317	GO:0005506
sll1317	GO:0009055
sll1317	GO:0009512
sll1317	GO:0015979
sll1317	GO:0020037
sll1317	GO:0031676
sll0519	GO:0009060
sll0519	GO:0016655
sll0519	GO:0019684
sll0519	GO:0031676
sll0519	GO:0048038
sll0521	GO:0008137
sll0521	GO:0016020
sll0521	GO:0048038
sll0522	GO:0016655
sll0522	GO:0019684
sll0522	GO:0030964
sll0522	GO:0031676
sll0522	GO:0042773
sll0522	GO:0048038
sll0520	GO:0005506
sll0520	GO:0008137
sll0520	GO:0019684
sll0520	GO:0031676
sll0520	GO:0048038
sll0520	GO:0051539
slr1329	GO:0005524
slr1329	GO:0016887
slr1329	GO:0031676
slr1329	GO:0045260
slr1329	GO:0045261
slr1329	GO:0046933
slr1329	GO:0046961
sll1326	GO:0005524
sll1326	GO:0015986
sll1326	GO:0031676
sll1326	GO:0043531
sll1326	GO:0045260
sll1326	GO:0045261
sll1326	GO:0046933
sll1326	GO:0046961
sll1325	GO:0015986
sll1325	GO:0031676
sll1325	GO:0045260
sll1325	GO:0045261
sll1325	GO:0046933
sll1324	GO:0031676
sll1324	GO:0045260
sll1324	GO:0045263
sll1324	GO:0046933
ssl2615	GO:0008289
ssl2615	GO:0015986
ssl2615	GO:0031676
ssl2615	GO:0045263
ssl2615	GO:0046933
sll1323	GO:0031676
sll1323	GO:0045260
sll1323	GO:0045263
sll1323	GO:0046933
ssr1386	GO:0016655
ssr1386	GO:0031676
ssr1386	GO:0048038
slr0343	GO:0009512
slr0343	GO:0009767
slr0343	GO:0031676
slr0343	GO:0045156
slr0343	GO:0045158
slr0343	GO:1902600
slr0750	GO:0005524
slr0750	GO:0016636
slr0750	GO:0016730
slr0750	GO:0019685
slr0750	GO:0036068
slr0750	GO:0046872
slr0750	GO:0051539
slr0749	GO:0005524
slr0749	GO:0016636
slr0749	GO:0016730
slr0749	GO:0019685
slr0749	GO:0036068
slr0749	GO:0046872
slr0749	GO:0051539
slr1254	GO:0005886
slr1254	GO:0009635
slr1254	GO:0016117
slr1254	GO:0016166
slr0331	GO:0008137
slr0331	GO:0009060
slr0331	GO:0015990
slr0331	GO:0031676
slr0331	GO:0042773
slr0331	GO:0048039
sll1525	GO:0005524
sll1525	GO:0005737
sll1525	GO:0008974
sll1525	GO:0016310
sll1525	GO:0019253
slr1255	GO:0004311
slr1255	GO:0016117
slr1255	GO:0016767
slr1255	GO:0046872
sll1614	GO:0005388
sll1614	GO:0005524
sll1614	GO:0005886
sll1614	GO:0016887
sll1614	GO:0043231
