Gene	sgRNA	eff
infB	infB|177	1
infB	infB|115	1
infB	infB|199	1
infB	infB|127	1
sll1405	sll1405|4	1
sll1405	sll1405|118	1
sll1405	sll1405|134	1
sll1405	sll1405|33	1
sll1405	sll1405|49	1
msrA	msrA|126	1
msrA	msrA|45	1
msrA	msrA|73	1
msrA	msrA|114	1
msrA	msrA|34	1
phoA	phoA|121	1
phoA	phoA|10	1
phoA	phoA|135	1
phoA	phoA|87	1
phoA	phoA|70	1
nifS	nifS|93	1
nifS	nifS|25	1
nifS	nifS|77	1
nifS	nifS|11	1
nifS	nifS|36	1
sll1659	sll1659|25	1
sll1659	sll1659|75	1
sll1659	sll1659|13	1
sll1659	sll1659|111	1
sll1659	sll1659|43	1
ycf10	ycf10|6	1
ycf10	ycf10|26	1
ycf10	ycf10|70	1
ycf10	ycf10|41	1
ycf10	ycf10|85	1
sll1213	sll1213|121	1
sll1213	sll1213|43	1
sll1213	sll1213|109	1
sll1213	sll1213|70	1
sll1213	sll1213|98	1
ank	ank|182	1
ank	ank|9	1
ank	ank|148	1
ank	ank|89	1
ank	ank|70	1
me	me|53	1
me	me|21	1
me	me|154	1
me	me|8	1
me	me|64	1
sll1671	sll1671|101	1
sll1671	sll1671|20	1
sll1671	sll1671|124	1
sll1671	sll1671|7	1
sll1671	sll1671|135	1
sll1672	sll1672|133	1
sll1672	sll1672|156	1
sll1672	sll1672|121	1
sll1672	sll1672|197	1
sll1672	sll1672|144	1
sll1673	sll1673|139	1
sll1673	sll1673|32	1
sll1673	sll1673|379	1
sll1673	sll1673|115	1
sll1673	sll1673|186	1
sll1675	sll1675|191	1
sll1675	sll1675|117	1
sll1675	sll1675|21	1
sll1675	sll1675|138	1
sll1675	sll1675|4	1
slr0251	slr0251|53	1
slr0251	slr0251|172	1
slr0251	slr0251|97	1
slr0251	slr0251|108	1
slr0251	slr0251|189	1
fhuA2	fhuA2|88	1
fhuA2	fhuA2|418	1
fhuA2	fhuA2|477	1
fhuA2	fhuA2|454	1
fhuA2	fhuA2|70	1
sll1678	sll1678|165	1
sll1678	sll1678|245	1
sll1678	sll1678|145	1
sll1678	sll1678|196	1
sll1678	sll1678|130	1
bvdR	bvdR|27	1
bvdR	bvdR|174	1
bvdR	bvdR|262	1
bvdR	bvdR|64	1
bvdR	bvdR|232	1
ssr2998	ssr2998|112	1
ssr2998	ssr2998|35	1
ssr2998	ssr2998|142	1
ssr2998	ssr2998|47	1
nusA	nusA|223	1
nusA	nusA|295	1
nusA	nusA|260	1
nusA	nusA|337	1
nusA	nusA|18	1
slr0729	slr0729|4	1
slr0729	slr0729|91	1
slr0729	slr0729|28	1
slr0729	slr0729|58	1
slr0729	slr0729|15	1
slr0728	slr0728|46	1
slr0728	slr0728|34	1
slr0728	slr0728|7	1
slr0728	slr0728|79	1
slr0728	slr0728|64	1
slr0723	slr0723|43	1
slr0723	slr0723|93	1
slr0723	slr0723|22	1
slr0723	slr0723|110	1
slr0723	slr0723|10	1
sll1064	sll1064|143	1
sll1064	sll1064|32	1
sll1064	sll1064|100	1
sll1064	sll1064|157	1
sll1064	sll1064|66	1
slr1101	slr1101|179	1
slr1101	slr1101|37	1
slr1101	slr1101|162	1
slr1101	slr1101|14	1
slr1101	slr1101|104	1
dnaJ	dnaJ|95	1
dnaJ	dnaJ|127	1
dnaJ	dnaJ|33	1
dnaJ	dnaJ|106	1
dnaJ	dnaJ|152	1
sll1061	sll1061|486	1
sll1061	sll1061|445	1
sll1061	sll1061|417	1
sll1061	sll1061|459	1
sll1060	sll1060|3	1
sll1060	sll1060|33	1
sll1060	sll1060|67	1
sll1060	sll1060|161	1
sll1060	sll1060|45	1
sll1063	sll1063|17	1
sll1063	sll1063|4	1
sll1063	sll1063|64	1
sll1063	sll1063|28	1
sll1063	sll1063|49	1
lepB	lepB|108	1
lepB	lepB|10	1
lepB	lepB|79	1
lepB	lepB|22	1
lepB	lepB|50	1
glgA	glgA|101	1
glgA	glgA|123	1
glgA	glgA|31	1
glgA	glgA|149	1
glgA	glgA|19	1
ksgA	ksgA|44	1
