# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t0_r2_T1.featureCounts.txt" "BG11_control_t0_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t0_r2_T1.bam
slr1113|74	slr1113|74	1	18	.	18	203
slr1110|117	slr1110|117	1	22	.	22	303
slr1110|132	slr1110|132	1	17	.	17	283
slr1110|106	slr1110|106	1	17	.	17	241
slr1110|91	slr1110|91	1	19	.	19	127
slr1110|27	slr1110|27	1	19	.	19	220
ssl1326|241	ssl1326|241	1	20	.	20	231
ssl1326|103	ssl1326|103	1	20	.	20	318
ssl1326|52	ssl1326|52	1	20	.	20	506
ssl1326|64	ssl1326|64	1	20	.	20	340
sll1041|56	sll1041|56	1	17	.	17	443
sll1041|44	sll1041|44	1	19	.	19	307
sll1041|68	sll1041|68	1	19	.	19	1182
sll1041|9	sll1041|9	1	18	.	18	352
sll1041|32	sll1041|32	1	20	.	20	470
slr0236|104	slr0236|104	1	19	.	19	493
slr0236|11	slr0236|11	1	20	.	20	309
slr0236|123	slr0236|123	1	20	.	20	577
slr0236|25	slr0236|25	1	19	.	19	533
slr0236|52	slr0236|52	1	17	.	17	57
slr0725|118	slr0725|118	1	20	.	20	257
slr0725|239	slr0725|239	1	18	.	18	112
slr0725|61	slr0725|61	1	18	.	18	523
slr0725|4	slr0725|4	1	17	.	17	418
slr0725|105	slr0725|105	1	22	.	22	366
sll1204|7	sll1204|7	1	21	.	21	843
sll1204|383	sll1204|383	1	18	.	18	189
sll1204|372	sll1204|372	1	18	.	18	318
sll1204|337	sll1204|337	1	22	.	22	156
sll1204|352	sll1204|352	1	19	.	19	368
sll1049|52	sll1049|52	1	18	.	18	391
sll1049|185	sll1049|185	1	22	.	22	577
sll1049|80	sll1049|80	1	19	.	19	246
sll1049|153	sll1049|153	1	22	.	22	425
sll1049|67	sll1049|67	1	19	.	19	427
sll1062|64	sll1062|64	1	17	.	17	262
sll1062|305	sll1062|305	1	20	.	20	258
sll1062|85	sll1062|85	1	17	.	17	253
sll1062|282	sll1062|282	1	17	.	17	275
ssr3000|70	ssr3000|70	1	20	.	20	829
ssr3000|136	ssr3000|136	1	20	.	20	53
ssr3000|38	ssr3000|38	1	22	.	22	704
ssr3000|55	ssr3000|55	1	20	.	20	744
ssr3000|118	ssr3000|118	1	18	.	18	272
atp1|338	atp1|338	1	20	.	20	272
atp1|6	atp1|6	1	17	.	17	295
atp1|274	atp1|274	1	17	.	17	189
atp1|130	atp1|130	1	18	.	18	450
atp1|39	atp1|39	1	20	.	20	280
sll1203|312	sll1203|312	1	19	.	19	304
sll1203|211	sll1203|211	1	18	.	18	404
sll1203|99	sll1203|99	1	22	.	22	352
sll1203|51	sll1203|51	1	19	.	19	318
sll1203|31	sll1203|31	1	17	.	17	220
sll1202|282	sll1202|282	1	22	.	22	181
sll1202|168	sll1202|168	1	20	.	20	331
sll1202|499	sll1202|499	1	17	.	17	138
sll1202|231	sll1202|231	1	22	.	22	239
sll1202|324	sll1202|324	1	20	.	20	178
sll0219|67	sll0219|67	1	17	.	17	329
sll0219|9	sll0219|9	1	22	.	22	168
sll0219|128	sll0219|128	1	17	.	17	160
sll0219|25	sll0219|25	1	17	.	17	315
sll0219|100	sll0219|100	1	22	.	22	467
rfbD2|179	rfbD2|179	1	22	.	22	224
rfbD2|118	rfbD2|118	1	17	.	17	264
rfbD2|202	rfbD2|202	1	21	.	21	648
rfbD2|86	rfbD2|86	1	19	.	19	577
rfbD2|156	rfbD2|156	1	17	.	17	318
